City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,-0.43,86,100,1.1,US,1738594244
1,kapit,2.0167,112.9333,22.91,99,83,0.45,MY,1738594696
2,west island,-12.1568,96.8225,27.99,94,75,3.6,CC,1738594654
3,hawaiian paradise park,19.5933,-154.9731,17.16,77,75,3.09,US,1738594698
4,blackmans bay,-43.0167,147.3167,21.07,88,0,2.42,AU,1738594653
5,waitangi,-43.9535,-176.5597,14.34,84,38,4.02,NZ,1738594612
6,bethel,41.3712,-73.414,1.12,85,0,1.34,US,1738594616
7,banda aceh,5.5577,95.3222,25.9,78,66,3.13,ID,1738594702
8,iqaluit,63.7506,-68.5145,-31.84,67,20,2.06,CA,1738594628
9,adamstown,-25.066,-130.1015,24.95,71,100,6.54,PN,1738594705
10,biltine,14.5333,20.9167,33.69,6,20,4.32,TD,1738594429
11,port-aux-francais,-49.35,70.2167,3.78,68,22,3.32,TF,1738594635
12,wailua homesteads,22.0669,-159.378,16.44,94,20,2.57,US,1738594520
13,luderitz,-26.6481,15.1594,22.27,65,0,7.81,NA,1738594709
14,dehdasht,30.7949,50.5646,11.92,36,99,1.74,IR,1738594416
15,hermanus,-34.4187,19.2345,25.45,63,0,4.36,ZA,1738594711
16,touros,-5.1989,-35.4608,31.32,54,97,7.15,BR,1738594712
17,tiksi,71.6872,128.8694,-24.89,98,100,2.5,RU,1738594623
18,broken hill,-31.95,141.4333,28.2,44,93,4.11,AU,1738594714
19,karaton,-6.3424,106.1045,24.02,89,100,1.15,ID,1738594715
20,edinburgh of the seven seas,-37.0676,-12.3116,15.18,74,100,5.54,SH,1738594591
21,susuman,62.7833,148.1667,-48.02,99,81,0.34,RU,1738594651
22,ghat,24.9647,10.1728,20.45,20,0,3.06,LY,1738594718
23,baruun-urt,46.6806,113.2792,-23.19,91,46,2.77,MN,1738594720
24,ushuaia,-54.8,-68.3,6.81,76,40,10.8,AR,1738594394
25,avarua,-21.2078,-159.775,28.03,78,87,4.12,CK,1738594722
26,lebu,-37.6167,-73.65,17.04,61,0,4.62,CL,1738594652
27,shelton,41.3165,-73.0932,1.9,92,0,3.09,US,1738594712
28,karaman,37.0833,33.25,8.58,40,0,0.25,TR,1738594725
29,tralee,52.2704,-9.7026,11.14,93,100,7.72,IE,1738594726
30,jiangyou,31.7667,104.7167,7.07,53,20,1.15,CN,1738594727
31,shimoda,34.6667,138.95,8.13,66,36,9.88,JP,1738594728
32,acarau,-2.8856,-40.12,30.56,59,96,6.68,BR,1738594515
33,kapa'a,22.0752,-159.319,17.18,94,20,2.57,US,1738594731
34,hamilton,39.1834,-84.5333,12.22,75,100,4.12,US,1738594508
35,cabo san lucas,22.8909,-109.9124,19.41,37,22,1.08,MX,1738594734
36,puerto natales,-51.7236,-72.4875,7.25,87,100,5.66,CL,1738594637
37,marsa alam,25.0757,34.8918,21.93,58,47,3.55,EG,1738594736
38,lerwick,60.1545,-1.1494,8.16,94,100,10.81,GB,1738594737
39,yerofey pavlovich,53.9667,121.9667,-31.45,95,74,1.88,RU,1738594738
40,carnarvon,-24.8667,113.6333,28.14,68,0,12.64,AU,1738594739
41,laguna,38.421,-121.4238,13.14,90,100,2.06,US,1738594150
42,hammerfest,70.6634,23.6821,-9.75,57,0,3.09,NO,1738594741
43,port alfred,-33.5906,26.891,25.1,73,0,2.24,ZA,1738594742
44,taksimo,56.3444,114.8794,-30.04,91,80,1.62,RU,1738594743
45,la gi,10.6667,107.7833,23.08,82,3,5.8,VN,1738594744
46,conde,-7.2597,-34.9075,30.7,66,75,6.69,BR,1738594491
47,chonchi,-42.6128,-73.8092,16.73,78,100,1.66,CL,1738594746
48,dos palos,36.9861,-120.6266,8.86,91,100,2.08,US,1738594747
49,richards bay,-28.783,32.0377,26.36,81,95,5.23,ZA,1738594525
50,tura,25.5198,90.2201,16.66,55,0,2.19,IN,1738594750
51,krutinka,56.0055,71.5113,-1.78,96,100,2.11,RU,1738594752
52,kristiansund,63.1115,7.732,6.18,65,0,2.06,NO,1738594753
53,curup,-3.4667,102.5333,21.13,97,100,1.18,ID,1738594754
54,oyem,1.5995,11.5793,32.81,29,100,0.37,GA,1738594755
55,udachny,66.4167,112.4,-15.27,92,100,14.53,RU,1738594677
56,nyurba,63.2842,118.3319,-21.66,95,100,6.15,RU,1738594757
57,mount gambier,-37.8333,140.7667,21.8,65,100,3.13,AU,1738594758
58,college,64.8569,-147.8028,-11.03,85,100,0.0,US,1738594606
59,mahibadhoo,3.7833,72.9667,27.82,74,54,5.71,MV,1738594760
60,port mathurin,-19.6833,63.4167,27.4,82,97,4.31,MU,1738594617
61,nogliki,51.8333,143.1667,-22.27,100,87,2.27,RU,1738594762
62,jamestown,42.097,-79.2353,3.9,99,100,3.6,US,1738594645
63,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.02,PT,1738594764
64,senhor do bonfim,-10.4614,-40.1894,22.92,73,100,3.03,BR,1738594533
65,siavonga,-16.5382,28.7088,31.08,57,99,0.7,ZM,1738594766
66,kampene,-3.6,26.6667,27.95,56,100,0.64,CD,1738594767
67,villeneuve-sur-yonne,48.0825,3.2969,7.75,67,2,1.6,FR,1738594769
68,grytviken,-54.2811,-36.5092,6.28,88,100,2.62,GS,1738594636
69,gembu,6.7,11.2667,31.62,13,28,2.94,NG,1738594771
70,suining,30.508,105.5733,8.43,84,0,2.19,CN,1738594772
71,kayangel,8.0823,134.7173,28.43,78,97,9.81,PW,1738594773
72,margate,51.3813,1.3862,9.27,73,44,4.39,GB,1738594623
73,papatowai,-46.5619,169.4708,11.92,78,87,4.88,NZ,1738594775
74,mossel bay,-34.1831,22.146,22.63,64,0,4.52,ZA,1738594776
75,haiku-pauwela,20.9219,-156.3051,18.47,83,0,3.58,US,1738594777
76,kamaishi,39.2667,141.8833,3.79,92,100,2.55,JP,1738594778
77,lazaro cardenas,17.9583,-102.2,24.96,72,2,1.9,MX,1738594779
78,zag,46.9441,99.165,-26.09,86,77,2.12,MN,1738594780
79,yellowknife,62.456,-114.3525,-28.71,76,20,3.09,CA,1738594583
